ID,Sentence A,Sentence B
1,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,56. 나는 주변 차량들이 불안한 움직임을 보일 때에는 자율 주행 기능을 사용하지 않고 직접 운전을 합니다. 
2,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,15. 어떠한 비운전과업 중이더라도 제어권 전환 요청이 오면 나는 즉시 대응합니다. 
3,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,6. 자율 주행 시스템이 활성화된 상태에서도 나는 지속적으로 도로 환경을 감시하고 잠재적인 위험을 예측합니다. 
4,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,24. 잠재적인 수동 운전 개입에 대비하여 시스템의 경고 지표를 주기적으로 확인합니다. 
5,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,27. 자율 주행 시스템이 작동 중일 때 비운전과업을 하지 않고 경각심을 지닌 상태를 유지합니다. 
6,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,28. 언제든지 자율 주행 시스템의 제어권을 수동으로 가져올 준비가 되어있습니다. 
7,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,"58. 나는 자율 주행 기능이 활성화 된 중에도 최대한 운전 외에 다른 활동을 피하며, 주의 집중은 운전 환경에 쏟습니다. "
8,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,3. 나는 공격적인 기동을 피하고 안전한 제한 속도로 운전합니다. 
9,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,5. 나는 갑작스러운 도로 상황 변화나 시스템 오작동과 같은 비상 상황에 대응할 준비가 되어 있습니다. 
10,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,32. 나는 자율 주행 내내 안전 벨트를 하고 있습니다. 
11,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,63. 나는 자율주행 중에도 발을 브레이크 근처에 둡니다. 
12,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,31. 나는 자율 주행 동안 핸들 가까이에 손을 둡니다. 
13,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,1. 나는 도로를 적극적으로 관찰하고 후방 거울을 점검하여 자율 주행 시스템을 보조합니다. 
14,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,4. 나는 자동 운전 중에도 제어권 전환에 대한 경각심을 가지고 있습니다. 
15,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,50. 나는 주행에 영향을 미칠 수 있는 상태(약물 복용 등)에서 자율주행 차를 사용합니다. 
16,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,7. 나는 자율 주행 시스템이 완벽하게 처리할 수 있다고 믿고 빙판길이나 미끄러운 도로에서 거침없이 빠르게 운전합니다. 
17,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,49. 나는 자율주행 중 숙면합니다. 
18,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,30. 자율 주행 시스템을 재미로 과속운전 하는 데에 사용합니다. 
19,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,14. 나는 제어권 전환 요청을 무시합니다. 
20,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,48. 나는 자율주행 사용 중 운전자석을 이탈합니다. 
21,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,2. 나는 자율 주행 시스템이 충돌을 방지할 것이라고 가정하고 수동 운전 중에 차량 간 안전 거리를 확보하지 않고 다른 차량을 추월하려고 시도합니다. 
22,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,13. 나는 조건부 자율 주행 차량의 시스템 경고나 알람을 무시합니다. 
23,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,16. 나는 금지되거나 위험한 상황에서 조건부 자율 주행 시스템의 기능의 한계를 테스트하기 위해 의도적으로 시스템을 사용합니다. 
24,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,8. 나는 자율 주행 시스템에 잠재적인 운전자 개입이 필요한 경우에도 비운전과업에 참여합니다. 
25,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,39. 나는 페달에 발을 올리지 않고 다른 곳에 발을 위치하는 (e.g. 아빠다리) 자세를 취합니다. 
26,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,"40. 나는 제어권 전환 등과 같이 직접 운전을 해야 하는 상황에서 시야를 가릴만한 곳에 비운전과업 장치(e.g. 핸드폰, 태블릿)나 물품을 둡니다. "
27,52. 나는 언제든지 제어권 전환을 할 수 있는 자세를 유지합니다. ,12. 나는 조건부 자율 주행 차량의 운영 설계상의 한계를 무시합니다. 
