ID,Sentence A,Sentence B
1,나는 자율 주행 시스템의 한계점을 숙지하지 않습니다.,나는 자율 주행 시스템 기능들의 디스플레이 표기 위치 (e.g. 앞 차량간 간격을 맞춰주는 기능이 활성화 되어 있음을 알려주는 시각적 알람의 위치)를 숙지하지 않습니다.
2,나는 자율 주행 시스템의 한계점을 숙지하지 않습니다.,자율 주행 사고율이 높다고 하는 환경에서도 시스템이 작동만 한다면 나는 자율주행 모드로 주행합니다.
3,나는 자율 주행 시스템의 한계점을 숙지하지 않습니다.,"나는 자율 주행 중 한 손으론 핸들을 잡고 있지만, 다른 손으로는 핸드폰을 잡고 있습니다."
4,나는 자율 주행 시스템의 한계점을 숙지하지 않습니다.,나는 자율주행 중 페달에 발을 올리지 않고 다른 곳에 발을 위치하는 자세(e.g. 아빠다리)를 취합니다.
5,나는 자율 주행 시스템의 한계점을 숙지하지 않습니다.,나는 제어권 전환 상황 등 수동 운전을 해야 하는 상황에서 전방 시야를 가릴만한 곳에 비운전과업 장치나 차량 안 물품을 위치시킵니다.
6,나는 자율 주행 시스템의 한계점을 숙지하지 않습니다.,나는 자율 주행 중 뒷좌석 탑승자와 적극적으로 상호 작용합니다.
7,나는 자율 주행 시스템의 한계점을 숙지하지 않습니다.,나는 자율 주행 중 휴식을 취하기 위해 의자 시트를 과도하게 뒤로 젖히거나 뺍니다.
8,나는 자율 주행 시스템의 한계점을 숙지하지 않습니다.,"나는 자율 주행 시스템의 정기적인 시스템 업데이트 알람이 왔을 때, 즉각 업데이트를 하지 않습니다."
9,나는 자율 주행 시스템의 한계점을 숙지하지 않습니다.,나는 자율 주행 모드로 전환 시 좌석을 뒤로 눕혀서 편안하게 비운전과업을 수행합니다.
10,나는 자율 주행 시스템의 한계점을 숙지하지 않습니다.,나는 자율 주행 시스템의 소프트웨어 업데이트를 항상 합니다.
11,나는 자율 주행 시스템의 한계점을 숙지하지 않습니다.,"나는 자율 주행 시스템 기능들의 표기 위치를 알고, 운전 중 해당 기능이 켜져 있는지 계속 확인합니다."
